iter	Passed	Remaining
763	2322	717
764	2323	713
765	2324	710
766	2326	706
767	2327	703
768	2328	699
769	2330	696
770	2331	692
771	2333	689
772	2335	685
773	2337	682
774	2338	678
775	2350	678
776	2351	675
777	2353	671
778	2354	667
779	2356	664
780	2369	664
781	2373	661
782	2379	659
783	2380	655
784	2381	652
785	2385	649
786	2386	645
787	2390	643
788	2392	639
789	2394	636
790	2396	633
791	2400	630
792	2402	627
793	2403	623
794	2405	620
795	2410	617
796	2411	614
797	2412	610
798	2418	608
799	2420	605
800	2422	601
801	2423	598
802	2424	594
803	2428	591
804	2432	589
805	2435	586
806	2439	583
807	2441	580
808	2454	579
809	2455	576
810	2457	572
811	2458	569
812	2459	565
813	2461	562
814	2472	561
815	2474	557
816	2476	554
817	2477	551
818	2479	547
819	2486	545
820	2487	542
821	2489	539
822	2493	536
823	2495	533
824	2496	529
825	2498	526
826	2503	523
827	2504	520
828	2506	516
829	2507	513
830	2508	510
831	2516	508
832	2518	504
833	2519	501
834	2521	498
835	2532	496
836	2533	493
837	2534	489
838	2536	486
839	2539	483
840	2541	480
841	2542	477
842	2544	473
843	2546	470
844	2547	467
845	2549	464
846	2550	460
847	2555	458
848	2556	454
849	2559	451
850	2562	448
851	2563	445
852	2565	442
853	2567	438
854	2568	435
855	2594	436
856	2598	433
857	2599	430
858	2600	426
859	2601	423
860	2603	420
861	2609	417
862	2621	416
863	2622	412
864	2624	409
865	2626	406
866	2634	404
867	2635	400
868	2637	397
869	2638	394
870	2639	390
871	2640	387
872	2646	384
873	2647	381
874	2649	378
875	2651	375
876	2657	372
877	2662	369
878	2664	366
879	2665	363
880	2666	360
881	2669	357
882	2671	353
883	2674	350
884	2685	348
885	2687	345
886	2694	343
887	2696	340
888	2697	336
889	2698	333
890	2699	330
891	2700	327
892	2701	323
893	2710	321
894	2711	318
895	2714	315
896	2716	311
897	2721	309
898	2723	305
899	2725	302
900	2726	299
901	2727	296
902	2729	293
903	2732	290
904	2737	287
905	2742	284
906	2743	281
907	2745	278
908	2747	275
909	2748	271
910	2755	269
911	2757	266
912	2758	262
913	2761	259
914	2762	256
915	2763	253
916	2768	250
917	2770	247
918	2771	244
919	2772	241
920	2773	237
921	2779	235
922	2781	232
923	2782	228
924	2785	225
925	2788	222
926	2789	219
927	2794	216
928	2795	213
929	2802	210
930	2804	207
931	2811	205
932	2813	202
933	2815	198
934	2816	195
935	2817	192
936	2818	189
937	2820	186
938	2827	183
939	2828	180
940	2829	177
941	2831	174
942	2832	171
943	2835	168
944	2839	165
945	2841	162
946	2844	159
947	2846	156
948	2850	153
949	2853	150
950	2855	147
951	2857	144
952	2858	140
953	2860	137
954	2862	134
955	2864	131
956	2865	128
957	2874	126
958	2876	122
959	2878	119
960	2879	116
961	2880	113
962	2887	110
963	2891	107
964	2892	104
965	2894	101
966	2901	99
967	2903	95
968	2904	92
969	2906	89
970	2909	86
971	2911	83
972	2915	80
973	2916	77
974	2918	74
975	2919	71
976	2925	68
977	2927	65
978	2928	62
979	2936	59
980	2941	56
981	2943	53
982	2946	50
983	2948	47
984	2949	44
985	2951	41
986	2964	39
987	2965	36
988	2967	33
989	2974	30
990	2977	27
991	2979	24
992	2983	21
993	2984	18
994	2986	15
995	2987	11
996	2991	9
997	2995	6
998	2999	3
999	3020	0
